timestamp,category,severity,target,detail,recommendation
2026-03-19T20:06:13,porta_aberta,media,127.0.0.1:5000,"Serviço provável: desconhecido. Banner: HTTP/1.1 404 Not Found  Content-Length: 0  Connection: close  Date: Thu, 19 Mar 2026 23:06:12 GMT  Server: Kestrel. Risco: Porta comum de desenvolvimento. Valide exposição indevida.","Validar necessidade da exposição e restringir por firewall, ACL ou VPN."
2026-03-19T20:06:15,header_ausente,media,https://monitordemarcas-frontend-575503576839.us-central1.run.app,Header ausente: Content-Security-Policy,Adicionar o header Content-Security-Policy conforme a política da aplicação.
2026-03-19T20:06:15,header_ausente,media,https://monitordemarcas-frontend-575503576839.us-central1.run.app,Header ausente: Strict-Transport-Security,Adicionar o header Strict-Transport-Security conforme a política da aplicação.
2026-03-19T20:06:15,header_ausente,media,https://monitordemarcas-frontend-575503576839.us-central1.run.app,Header ausente: X-Content-Type-Options,Adicionar o header X-Content-Type-Options conforme a política da aplicação.
2026-03-19T20:06:15,header_ausente,media,https://monitordemarcas-frontend-575503576839.us-central1.run.app,Header ausente: X-Frame-Options,Adicionar o header X-Frame-Options conforme a política da aplicação.
2026-03-19T20:06:15,banner_exposto,baixa,https://monitordemarcas-frontend-575503576839.us-central1.run.app,Header Server expõe: Google Frontend,Reduzir exposição de banner e versão quando possível.
2026-03-19T20:06:16,caminho_exposto,media,https://monitordemarcas-frontend-575503576839.us-central1.run.app/login,Caminho acessível com status 200: /login,"Validar se o recurso deve ser público, proteger ou remover se necessário."
2026-03-19T20:06:16,caminho_exposto,media,https://monitordemarcas-frontend-575503576839.us-central1.run.app/admin,Caminho acessível com status 200: /admin,"Validar se o recurso deve ser público, proteger ou remover se necessário."
2026-03-19T20:06:17,caminho_exposto,media,https://monitordemarcas-frontend-575503576839.us-central1.run.app/dashboard,Caminho acessível com status 200: /dashboard,"Validar se o recurso deve ser público, proteger ou remover se necessário."
2026-03-19T20:06:17,caminho_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/.env,Caminho acessível com status 200: /.env,"Validar se o recurso deve ser público, proteger ou remover se necessário."
2026-03-19T20:06:18,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/backup.bak,Arquivo potencialmente sensível acessível: /backup.bak,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:18,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/backup.zip,Arquivo potencialmente sensível acessível: /backup.zip,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:19,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/backup.sql,Arquivo potencialmente sensível acessível: /backup.sql,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:20,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/backup.env,Arquivo potencialmente sensível acessível: /backup.env,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:20,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/config.bak,Arquivo potencialmente sensível acessível: /config.bak,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:21,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/config.zip,Arquivo potencialmente sensível acessível: /config.zip,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:21,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/config.sql,Arquivo potencialmente sensível acessível: /config.sql,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:22,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/config.env,Arquivo potencialmente sensível acessível: /config.env,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:22,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/db.bak,Arquivo potencialmente sensível acessível: /db.bak,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:23,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/db.zip,Arquivo potencialmente sensível acessível: /db.zip,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:23,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/db.sql,Arquivo potencialmente sensível acessível: /db.sql,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
2026-03-19T20:06:24,arquivo_exposto,alta,https://monitordemarcas-frontend-575503576839.us-central1.run.app/db.env,Arquivo potencialmente sensível acessível: /db.env,"Remover da área pública, proteger o recurso e revisar processo de deploy/backup."
